;;
;; Domain:     ayojitintelligence.com.
;; Exported:   2026-08-19 17:37:43
;;
;; This file is intended for use for informational and archival
;; purposes ONLY and MUST be edited before use on a production
;; DNS server.  In particular, you must:
;;   -- update the SOA record with the correct authoritative name server
;;   -- update the SOA record with the contact e-mail address information
;;   -- update the NS record(s) with the authoritative name servers for this domain.
;;
;; For further information, please consult the BIND documentation
;; located on the following website:
;;
;; http://www.isc.org/
;;
;; And RFC 1035:
;;
;; http://www.ietf.org/rfc/rfc1035.txt
;;
;; Please note that we do NOT offer technical support for any use
;; of this zone data, the BIND name server, or any other third-party
;; DNS software.
;;
;; Use at your own risk.
;; SOA Record
ayojitintelligence.com	3600	IN	SOA	bob.ns.cloudflare.com. dns.cloudflare.com. 2053882766 10000 2400 604800 3600

;; NS Records
ayojitintelligence.com.	86400	IN	NS	bob.ns.cloudflare.com.
ayojitintelligence.com.	86400	IN	NS	hope.ns.cloudflare.com.

;; A Records
admin.ayojitintelligence.com.	1	IN	A	203.57.85.123 ; cf_tags=cf-proxied:true
ayojitintelligence.com.	1	IN	A	203.57.85.123 ; cf_tags=cf-proxied:true
cp.ayojitintelligence.com.	1	IN	A	203.57.85.123 ; cf_tags=cf-proxied:true
lms.ayojitintelligence.com.	1	IN	A	203.57.85.123 ; cf_tags=cf-proxied:true
www.ayojitintelligence.com.	1	IN	A	203.57.85.123 ; cf_tags=cf-proxied:true

;; MX Records
ayojitintelligence.com.	600	IN	MX	20 mx2.zoho.in.
ayojitintelligence.com.	600	IN	MX	50 mx3.zoho.in.
ayojitintelligence.com.	600	IN	MX	10 mx.zoho.in.

;; TXT Records
ayojitintelligence.com.	3600	IN	TXT	"v=spf1 include:zohomail.in ~all"
ayojitintelligence.com.	600	IN	TXT	"zoho-verification=zb59809811.zmverify.zoho.in"
zmail._domainkey.ayojitintelligence.com.	600	IN	TXT	"v=DKIM1; k=rsa; p=MIGfMA0GCSqGSIb3DQEBAQUAA4GNADCBiQKBgQCGVxIQrhuY00CjBtH+V/f5hvmPMhSzkiRZIAVnm9wWzu33DRosLU9OZ1CgPJiM7nVDuDfgm57i7iUibPyHink7YI+JaH4HUGfnnQol2yDTGTp3jDZ9E7UNDPCSxOj5qC/l8xsQV3luVUda9XFmMZO51FFGjSlcQDWwtb4Rvl2nHQIDAQAB"
